grootheid.code;grootheid.omschrijving;parameter.code;parameter.omschrijving;waarneminggroep;datagroep
HEFHTE;Hefhoogte;NVT;Waarde is niet van toepassing;NA;
AANTFTE;Aantalfractie;NVT;Waarde is niet van toepassing;NA;
SENSHTE;Sensorhoogte;NVT;Waarde is niet van toepassing;NA;
GEURVDNFTR;Geurverdunningsfactor;NVT;Waarde is niet van toepassing;NA;
NA;NA;11DClC2a;1,1-dichloorethaan;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;11DClC2e;1,1-dichlooretheen;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;111TClC2a;1,1,1-trichloorethaan;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;112TClC2a;1,1,2-trichloorethaan;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;1122T4ClC2a;1,1,2,2-tetrachloorethaan;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;12DClC2a;1,2-dichloorethaan;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;12DClC3a;1,2-dichloorpropaan;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;12xyln;1,2-xyleen;Vluchtige organische koolwaterstoffen (VOC’s);
ACTVTCCTTE;Activiteitsconcentratie;NVT;Waarde is niet van toepassing;NA;
HH;Hardheid;NVT;Waarde is niet van toepassing;NA;
DG;Drooggewicht;NVT;Waarde is niet van toepassing;NA;
NG;Natgewicht;NVT;Waarde is niet van toepassing;NA;
NA;NA;Oaml;oxamyl;NA;
NA;NA;PCDD48;2,3,7,8-tetrachloordibenzo-p-dioxine;NA;
NA;NA;PCDD54;1,2,3,7,8-pentachloordibenzo-p-dioxine;NA;
NA;NA;2ClTol;2-chloortolueen;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;PCDD66;1,2,3,4,7,8-hexachloordibenzo-p-dioxine;NA;
NA;NA;PCDD67;1,2,3,6,7,8-hexachloordibenzo-p-dioxine;NA;
NA;NA;PCDD70;1,2,3,7,8,9-hexachloordibenzo-p-dioxine;NA;
NA;NA;PCDD73;1,2,3,4,6,7,8-heptachloordibenzo-p-dioxine;NA;
NA;NA;PCDD75;1,2,3,4,6,7,8,9-octachloordibenzo-p-dioxine;NA;
NA;NA;PCDF114;2,3,4,7,8-pentachloordibenzofuraan;NA;
NA;NA;PCDF121;1,2,3,6,7,8-hexachloordibenzofuraan;NA;
NA;NA;24D;2,4-dichloorfenoxyazijnzuur;Chloorfenoxyalkaanzuren (CFAZ);
NA;NA;PCDF124;1,2,3,7,8,9-hexachloordibenzofuraan;NA;
NA;NA;PCDF130;2,3,4,6,7,8-hexachloordibenzofuraan;NA;
NA;NA;24DDD;2,4'-dichloordifenyldichloorethaan;Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;24DDE;2,4'-dichloordifenyldichlooretheen;Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;PCDF131;1,2,3,4,6,7,8-heptachloordibenzofuraan;NA;
NA;NA;24DP;2,4-dichloorfenoxypropionzuur;Chloorfenoxyalkaanzuren (CFAZ);
NA;NA;PCDF134;1,2,3,4,7,8,9-heptachloordibenzofuraan;NA;
NA;NA;PCDF135;1,2,3,4,6,7,8,9-octachloordibenzofuraan;NA;
NA;NA;PCDF83;2,3,7,8-tetrachloordibenzofuraan;NA;
NA;NA;penccrn;pencycuron;NA;
NA;NA;Po210;polonium 210;NA;
NA;NA;procmdn;procymidon;NA;
NA;NA;propcnzl;propiconazol (som cis- en trans-);NA;
NA;NA;3ClC3e;3-chloorpropeen;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;3ClTol;3-chloortolueen;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;propxr;propoxur;NA;
NA;NA;propzne;propazine;NA;
NA;NA;prosfcb;prosulfocarb;NA;
NA;NA;pyrazfs;pyrazofos;NA;
NA;NA;pyrdbn;pyridaben;NA;
NA;NA;pyrpxfn;pyriproxyfen;NA;
NA;NA;s1314xyln;som 1,3- en 1,4-xyleen;NA;
NA;NA;sAOX;som adsorbeerbare organische halogeenverbindingen;NA;
NA;NA;4ttC8yFol;4-tertiair-octylfenol;Fenolen en anilinen;
NA;NA;sC10C13Clakn;som C10-C13-chlooralkanen;NA;
NA;NA;sChER;som cholinesteraseremmers;NA;
NA;NA;sEOX;som extraheerbare organische halogeenverbindingen;NA;
NA;NA;sFolwv;som fenolen waterdampvluchtig;NA;
NA;NA;sMAK;som monocyclische aromatische koolwaterstoffen (BTEX);NA;
NA;NA;sMBAS;som methyleenblauwactieve stoffen anionactief;NA;
NA;NA;sPAK6;som 6 polyaromatische koolwaterstoffen (Borneff);NA;
NA;NA;sVOX;som vluchtige organische halogeenverbindingen;NA;
NA;NA;t13DClC3e;trans-1,3-dichloorpropeen;NA;
NA;NA;Tadmnl;triadimenol;NA;
NA;NA;Talt;triallaat;NA;
NA;NA;TBrC1a;tribroommethaan;NA;
NA;NA;TC4yPO4;tributylfosfaat;NA;
NA;NA;TClfn;trichloorfon;NA;
NA;NA;teldn;telodrin;NA;
NA;NA;terbtn;terbutrin;NA;
NA;NA;terC4yazne;terbutylazine;NA;
NA;NA;TFyPO4;trifenylfosfaat;NA;
KGF;Korrelgroottefractie;NVT;Waarde is niet van toepassing;Sedimentkarakteristieken;
NA;NA;TFySn;trifenyltin (kation);NA;
WINDRTG;Windrichting;NVT;Waarde is niet van toepassing;Fysische grootheden;
WINDRTGVERWACHT;Windrichting verwacht;NVT;Waarde is niet van toepassing;Fysische grootheden;
LUCHTDK;Luchtdruk;NVT;Waarde is niet van toepassing;Fysische grootheden;
ZICHTMETEO;Meteorologisch zicht;NVT;Waarde is niet van toepassing;Fysische grootheden;
WINDSHD;Windsnelheid;NVT;Waarde is niet van toepassing;Fysische grootheden;
WINDSHDVERWACHT;Windsnelheid verwacht;NVT;Waarde is niet van toepassing;Fysische grootheden;
WINDSTOOT;"Maximale 3"" windstoot in de afgelopen 10 minuten";NVT;Waarde is niet van toepassing;Fysische grootheden;
T;Temperatuur;NVT;Waarde is niet van toepassing;Veldmetingen;eutrofiering
NA;NA;THERMTLRTCLS;Thermotolerante Coli's (incubatie bij 44 C);NA;
NA;NA;thiacpd;thiacloprid;NA;
Hm0;Significante golfhoogte in het spectrale domein;NVT;Waarde is niet van toepassing;Fysische grootheden;
Hm0V;Significante golfhoogte in het spectrale domein verwacht;NVT;Waarde is niet van toepassing;Fysische grootheden;
HTE3;Significante deiningshoogte in het spectrale domein;NVT;Waarde is niet van toepassing;Fysische grootheden;
H1/10;Gem. hoogte van hoogste 1/10 deel v.d. golven (tijdsdomein);NVT;Waarde is niet van toepassing;Fysische grootheden;
H1/3;Gem. hoogte van hoogste 1/3 deel v.d. golven (tijdsdomein);NVT;Waarde is niet van toepassing;Fysische grootheden;
H1/50;Gem. hoogte van hoogste 1/50 deel v.d. golven (tijdsdomein);NVT;Waarde is niet van toepassing;Fysische grootheden;
NA;NA;tolcfsC1y;tolclofos-methyl;NA;
WATHTBRKD;Waterhoogte berekend;NVT;Waarde is niet van toepassing;Fysische grootheden;
WATHTE;Waterhoogte;NVT;Waarde is niet van toepassing;Fysische grootheden;
WATHTEASTRO;Waterhoogte astronomisch;NVT;Waarde is niet van toepassing;Fysische grootheden;
WATHTEVERWACHT;Waterhoogte verwacht;NVT;Waarde is niet van toepassing;Fysische grootheden;
TE3;Deiningsenergie in het spectrale domein;NVT;Waarde is niet van toepassing;Fysische grootheden;
NA;NA;TOTAFA;Totaal Alfa;NA;
pH;Zuurgraad;NVT;Waarde is niet van toepassing;Veldmetingen;eutrofiering
SALNTT;Saliniteit;NVT;Waarde is niet van toepassing;Veldmetingen;eutrofiering
GOLFHTE;Golfhoogte;NVT;Waarde is niet van toepassing;Fysische grootheden;
ZICHT;Doorzicht;NVT;Waarde is niet van toepassing;Veldmetingen;eutrofiering
STROOMRTG;Stroomrichting;NVT;Waarde is niet van toepassing;Fysische grootheden;
Th0;Gemiddelde golfrichting in het spectrale domein;NVT;Waarde is niet van toepassing;Fysische grootheden;
Th3;Gem. richting deining tov ware noorden in spectrale domein;NVT;Waarde is niet van toepassing;Fysische grootheden;
NA;NA;TOTBTA;Totaal Beta;NA;
NA;NA;ttC4yBen;tertiair-butylbenzeen;NA;
Fp;Golffrequentie bij maximum v.h. variantiedichtheidspectrum;NVT;Waarde is niet van toepassing;Fysische grootheden;
STROOMSHD;Stroomsnelheid;NVT;Waarde is niet van toepassing;Fysische grootheden;
GELDHD;Geleidendheid;NVT;Waarde is niet van toepassing;Fysische grootheden;eutrofiering
Q;Debiet;NVT;Waarde is niet van toepassing;Fysische grootheden;eutrofiering
QVERWACHT;Debiet verwacht;NVT;Waarde is niet van toepassing;Fysische grootheden;
TH1/3;gem. golfperiode hoogste 1/3 deel golven;NVT;Waarde is niet van toepassing;Fysische grootheden;
Tm02;Golfperiode bepaald uit de spectrale momenten m0 en m2;NVT;Waarde is niet van toepassing;Fysische grootheden;
T1/3;Gem. golfperiode langste 1/3 deel v.d. golven (tijdsdomein);NVT;Waarde is niet van toepassing;Fysische grootheden;
NA;NA;vinczln;vinclozolin;NA;
NA;NA;warfrn;warfarin;NA;
