Code;Omschrijving;CASnummer;Groep;SIKBid;D_BEGIN;D_EIND;D_STATUS
B2O3;diboortrioxide;1303-86-2;ChemischeStof;3199;10-05-2014;;G
BACTOIDBTRN;Bacteroides bacteriën;NVT;Object;4985;21-01-2014;;G
BADGT;Badgast;NVT;Object;3118;10-05-2014;;G
BAM;methyl-4-broomacetoacetaat;17790-81-7;ChemischeStof;3202;10-05-2014;;G
BCDMH;1-broom-3-chloor-5.5-dimethylhidantoïne;16079-88-2;ChemischeStof;3206;10-05-2014;;G
BEDKG;Bedekking;NVT;Grootheid;3141;10-05-2014;;G
BEMSDOVZDE;Bemonsterde oeverzijde;NVT;MonstervariabeleEcologie;4986;21-01-2014;;G
BEMSRBTE;Bemonsteringsbreedte;NVT;MonstervariabeleEcologie;3119;10-05-2014;;G
BEMSRDR;Bemonsteringsduur;NVT;MonstervariabeleEcologie;3121;10-05-2014;;G
BEMSROPVK;Bemonsteringsoppervlak;NVT;MonstervariabeleEcologie;3123;10-05-2014;;G
BEMSRTJT;Bemonsteringstraject;NVT;MonstervariabeleEcologie;3137;10-05-2014;;G
BESDWG;Beschaduwing;NVT;Typering;3140;10-05-2014;;G
BEWKGD;Bewolkingsgraad;NVT;Typering;3150;10-05-2014;;G
BEZ;Bezinksel;NVT;Object;3153;10-05-2014;;G
BHT;butylhydroxytolueen (BHT);128-37-0;ChemischeStof;1782;08-06-2011;;G
BIJZDRBSDLGM;Bijzondere bestanddelen grondmonster;NVT;OngedefinieerdLab;3172;10-05-2014;;G
BIOMPVLME;Biomassa per volume;NVT;Grootheid;3180;10-05-2014;;G
BIOMSA;Biomassa;NVT;Grootheid;4987;21-01-2014;;G
BIOMSFTE;Biomassafractie;NVT;Grootheid;4988;21-01-2014;;G
BIOMSPOPVTE;Biomassa per oppervlakte eenheid;NVT;Grootheid;3176;10-05-2014;;G
BIOVLME;Biovolume;NVT;Grootheid;3182;10-05-2014;;G
BIOVLMPVLME;Biovolume per volume eenheid;NVT;Grootheid;3212;10-05-2014;;G
BISADPT;bis(2-ethylhexyl)adipaat;103-23-1;ChemischeStof;3262;10-05-2014;;G
BLADVL;Bladval;NVT;Typering;3210;10-05-2014;;G
BLOEIBAG;Bloei blauwalg (kwalitatief);NVT;Typering;3211;10-05-2014;;G
BODHTE;Bodemhoogte;NVT;Grootheid;3237;10-05-2014;;G
BODKLTT;Bodemkwaliteit (eindoordeel);NVT;Typering;4989;21-01-2014;;G
BOTLME;Botulisme;NVT;Object;3215;10-05-2014;;G
BRAKKRTR;Brakkarakter;NVT;Typering;3216;10-05-2014;;G
BREEDTE;Breedte;NVT;Grootheid;3238;10-05-2014;;G
BTCl;boortrichloride;10294-34-5;ChemischeStof;3291;10-05-2014;;G
BTF;boortrifluoride;7637-07-2;ChemischeStof;3292;10-05-2014;;G
BZV/NKj;Verhouding BZV/stikstof Kjeldahl;NVT;Grootheid;4632;10-05-2014;;G
BZV/P;Verhouding BZV/fosfor totaal;NVT;Grootheid;4631;10-05-2014;;G
BZV1;Biochemisch zuurstofverbruik over 1 dag;NVT;ChemischeStof;3240;10-05-2014;;G
BZV10;Biochemisch zuurstofverbruik over 10 dagen;NVT;ChemischeStof;422;10-05-2014;;G
BZV11;Biochemisch zuurstofverbruik over 11 dagen;NVT;ChemischeStof;3242;10-05-2014;;G
BZV12;Biochemisch zuurstofverbruik over 12 dagen;NVT;ChemischeStof;423;10-05-2014;;G
BZV14;Biochemisch zuurstofverbruik over 14 dagen;NVT;ChemischeStof;424;06-07-2013;;G
BZV15;Biochemisch zuurstofverbruik over 15 dagen;NVT;ChemischeStof;2694;10-05-2014;;G
BZV19;Biochemisch zuurstofverbruik over 19 dagen;NVT;ChemischeStof;425;10-05-2014;;G
BZV2;Biochemisch zuurstofverbruik over 2 dagen;NVT;ChemischeStof;3251;10-05-2014;;G
BZV20;Biochemisch zuurstofverbruik over 20 dagen;NVT;ChemischeStof;3252;10-05-2014;;G
BZV21;Biochemisch zuurstofverbruik over 21 dagen;NVT;ChemischeStof;427;06-07-2013;;G
BZV26;Biochemisch zuurstofverbruik over 26 dagen;NVT;ChemischeStof;428;06-07-2013;;G
BZV28;Biochemisch zuurstofverbruik over 28 dagen;NVT;ChemischeStof;429;06-07-2013;;G
BZV3;Biochemisch zuurstofverbruik over 3 dagen;NVT;ChemischeStof;3253;10-05-2014;;G
BZV33;Biochemisch zuurstofverbruik over 33 dagen;NVT;ChemischeStof;431;06-07-2013;;G
BZV4;Biochemisch zuurstofverbruik over 4 dagen;NVT;ChemischeStof;3255;10-05-2014;;G
BZV40;Biochemisch zuurstofverbruik over 40 dagen;NVT;ChemischeStof;432;06-07-2013;;G
BZV5;Biochemisch zuurstofverbruik over 5 dagen;NVT;ChemischeStof;433;10-05-2014;;G
BZV5a;Biochemisch zuurstofverbruik met allylthioureum;NVT;ChemischeStof;3258;10-05-2014;;G
BZV6;Biochemisch zuurstofverbruik over 6 dagen;NVT;ChemischeStof;3259;10-05-2014;;G
BZV7;Biochemisch zuurstofverbruik over 7 dagen;NVT;ChemischeStof;435;10-05-2014;;G
BZV8;Biochemisch zuurstofverbruik over 8 dagen;NVT;ChemischeStof;3264;10-05-2014;;G
BZV9;Biochemisch zuurstofverbruik over 9 dagen;NVT;ChemischeStof;2693;10-05-2014;;G
Ba;barium;7440-39-3;ChemischeStof;333;08-06-2011;;G
Ba133;barium 133;13981-41-4;ChemischeStof;3200;10-05-2014;;G
Ba140;barium 140;14798-08-4;ChemischeStof;3201;10-05-2014;;G
BaA;benzo(a)antraceen;56-55-3;ChemischeStof;345;08-06-2011;;G
BaP;benzo(a)pyreen;50-32-8;ChemischeStof;346;08-06-2011;;G
BbF;benzo(b)fluorantheen;205-99-2;ChemischeStof;348;08-06-2011;;G
BbFle;benzo(b)fluoreen;243-17-4;ChemischeStof;3205;10-05-2014;;G
Be;beryllium;7440-41-7;ChemischeStof;362;08-06-2011;;G
Be7;beryllium 7;13966-02-4;ChemischeStof;3208;10-05-2014;;G
BeP;benzo(e)pyreen;192-97-2;ChemischeStof;350;08-06-2011;;G
Ben;benzeen;71-43-2;ChemischeStof;342;08-06-2011;;G
BenAh;benzaldehyde;100-52-7;ChemischeStof;1776;08-06-2011;;G
BenHAc;benzeenazijnzuur;103-82-2;ChemischeStof;343;08-06-2011;;G
BghiPe;benzo(ghi)peryleen;191-24-2;ChemischeStof;351;08-06-2011;;G
Bh;bohrium;54037-14-8;ChemischeStof;3243;10-05-2014;;G
Bi;bismut;7440-69-9;ChemischeStof;384;08-06-2011;;G
Bi206;bismuth 206;15776-19-9;ChemischeStof;3245;10-05-2014;;G
Bi207;bismuth 207;13982-38-2;ChemischeStof;3246;10-05-2014;;G
Bi210;bismuth 210;14331-79-4;ChemischeStof;;08-06-2011;;G
Bi212;bismuth 212;14913-49-6;ChemischeStof;3248;10-05-2014;;G
Bi214;bismuth 214;14733-03-0;ChemischeStof;3249;10-05-2014;;G
BjF;benzo(j)fluorantheen;205-82-3;ChemischeStof;352;08-06-2011;;G
Bk;berkelium;7440-40-6;ChemischeStof;3269;10-05-2014;;G
BkF;benzo(k)fluorantheen;207-08-9;ChemischeStof;353;08-06-2011;;G
Br;bromide;24959-67-9;ChemischeStof;391;08-06-2011;;G
Br2;dibroom;7726-95-6;ChemischeStof;3274;10-05-2014;;G
BrBen;broombenzeen;108-86-1;ChemischeStof;1777;08-06-2011;;G
BrC1a;broommethaan;74-83-9;ChemischeStof;399;08-06-2011;;G
BrC2e;broometheen;593-60-2;ChemischeStof;3275;10-05-2014;;G
BrClHAc;broomchloorazijnzuur;5589-96-8;ChemischeStof;3277;10-05-2014;;G
BrHAc;broomazijnzuur;79-08-3;ChemischeStof;3281;10-05-2014;;G
BrO3;bromaat;15541-45-4;ChemischeStof;3282;10-05-2014;;G
BrOxnHpnat;bromoxynil heptanoaat;56634-95-8;ChemischeStof;4990;21-01-2014;;G
BrOxnOcnat;broomoxynil-octanoaat;1689-99-2;ChemischeStof;3287;10-05-2014;;G
BrOxnl;broomoxynil;1689-84-5;ChemischeStof;394;08-06-2011;;G
BrTClC1a;broomtrichloormethaan;75-62-7;ChemischeStof;1596;08-06-2011;;G
Brccn;bromocyclen;1715-40-8;ChemischeStof;3276;10-05-2014;;G
Brctne;bromocriptine;25614-03-3;ChemischeStof;3278;10-05-2014;;G
Brfnxm;broomfenoxim;13181-17-4;ChemischeStof;3279;10-05-2014;;G
BrfvfsC1y;broomfenvinfos-methyl;13104-21-7;ChemischeStof;;07-04-2012;;G
Brpplt;broompropylaat;18181-80-1;ChemischeStof;400;08-06-2011;;G
Brprlt;broompyrolaat;53808-86-9;ChemischeStof;;08-06-2011;;G
C;koolstof;7440-44-0;ChemischeStof;965;08-06-2011;;G
C10a;decaan;124-18-5;ChemischeStof;558;06-07-2013;;G
C10azr;decaanzuur;334-48-5;ChemischeStof;559;08-06-2011;;G
C11a;undecaan;1120-21-4;ChemischeStof;1634;06-07-2013;;G
C11azr;undecaanzuur;112-37-8;ChemischeStof;1635;08-06-2011;;G
C11ezr;undeceenzuur;112-38-9;ChemischeStof;;08-06-2011;;G
C12C14akbzDC;C12-C14-alkylbenzyldimethylammoniumchloride;85409-23-0;ChemischeStof;;08-06-2011;;G
C12C16akbzDC;C12-C16-alkylbenzyldimethylammoniumchloride;68424-85-1;ChemischeStof;;08-06-2011;;G
C12C18DC1y34;C12-C18-dimethyl-3.4-dichloorbenzylammoniumchloride;92129-28-7;ChemischeStof;;08-06-2011;;G
C12a;dodecaan;112-40-3;ChemischeStof;686;06-07-2013;;G
C12aAdNNb2Ho;dodecaanamide N.N-bis2-hydroxyethyl;120-40-1;ChemischeStof;4991;21-01-2014;;G
C12azr;dodecaanzuur;143-07-7;ChemischeStof;687;08-06-2011;;G
C12ySO4;laurylsulfaat;151-41-7;ChemischeStof;;12-04-2014;;G
C13azr;tridecaanzuur;638-53-9;ChemischeStof;;08-06-2011;;G
C14azr;tetradecaanzuur;544-63-8;ChemischeStof;1541;28-08-2011;;G
C15al;pentadecanal;2765-11-9;ChemischeStof;;10-06-2011;;G
C15azr;pentadecaanzuur;1002-84-2;ChemischeStof;;27-08-2011;;G
C16azr;hexadecaanzuur;57-10-3;ChemischeStof;;08-06-2011;;G
C17azr;heptadecaanzuur;506-12-7;ChemischeStof;;27-08-2011;;G
C18al;octadecanal;638-66-4;ChemischeStof;;08-06-2011;;G
C18azr;octadecaanzuur;57-11-4;ChemischeStof;1291;08-06-2011;;G
C1a;methaan;74-82-8;ChemischeStof;1153;08-06-2011;;G
C1al;methanal (formaldehyde);50-00-0;ChemischeStof;785;08-06-2011;;G
C1azr;methaanzuur;64-18-6;ChemischeStof;1922;08-06-2011;;G
C1ol;methanol;67-56-1;ChemischeStof;1154;08-06-2011;;G
C1olacAd;methanolacrylamide;924-42-5;ChemischeStof;;27-08-2011;;G
C1oxC2yHgCl;methoxyethylkwikchloride;123-88-6;ChemischeStof;;08-06-2011;;G
C1oxC3yactt;methoxypropylacetaat;84540-57-8;ChemischeStof;1161;06-07-2013;;G
C1oxCl;methoxychloor;72-43-5;ChemischeStof;1159;08-06-2011;;G
C1oxfnzde;methoxyfenozide;161050-58-4;ChemischeStof;;08-06-2011;;G
C1y14C1yC15a;methyl 14-methylpentadecanoaat;5129-60-2;ChemischeStof;;08-06-2011;;G
C1y1C1yC2ycc;methyl(1-methylethyl)cyclohexanol;30350-73-3;ChemischeStof;;08-06-2011;;G
C1yAeHCl;methylamine hydrochloride;593-51-1;ChemischeStof;;08-06-2011;;G
C1yAn;methylaniline;100-61-8;ChemischeStof;;27-08-2011;;G
C1yBrfs;methylbromofos;2104-96-3;ChemischeStof;393;08-06-2011;;G
C1yC2yNOAe;methylethylnitrosamine;10595-95-6;ChemischeStof;2431;27-08-2011;;G
C1yC2yprdne;methylethylpyridine;104-90-5;ChemischeStof;;08-06-2011;;G
C1yC3yat;methylpropylaat;554-12-1;ChemischeStof;1918;08-06-2011;;G
C1yC4yat;methylbutylaat;623-42-7;ChemischeStof;1911;08-06-2011;;G
C1yC6yat;methylhexylaat;106-70-7;ChemischeStof;;08-06-2011;;G
C1yClcbnt;methyl chloorcarbonaat;79-22-1;ChemischeStof;;08-06-2011;;G
C1yClprfs;methylchloorpyrifos;5598-13-0;ChemischeStof;;08-06-2011;;G
C1yDC1yDtocb;methyl dimethyldithiocarbamaat;3735-92-0;ChemischeStof;;08-06-2011;;G
C1yDHjasmnt;methyldihydrojasmonaat;24851-98-7;ChemischeStof;;08-06-2011;;G
C1yHg;methylkwik;22967-92-6;ChemischeStof;;08-06-2011;;G
C1yHgbzat;methylkwikbenzoaat;3626-13-9;ChemischeStof;;08-06-2011;;G
C1yNNO2svnAe;methyl-N-nitroso-vinylamine;4549-40-0;ChemischeStof;;27-08-2011;;G
C1yNOurm;methylnitrosoureum;684-93-5;ChemischeStof;;27-08-2011;;G
C1yNaf;methylnaftaleen;1321-94-4;ChemischeStof;1178;08-06-2011;;G
C1yOxdmtn;methyloxydemeton;301-12-2;ChemischeStof;568;08-06-2011;;G
C1yaclntl;methyl-acrylonitril;126-98-7;ChemischeStof;;08-06-2011;;G
C1yaclt;methylacrylaat;96-33-3;ChemischeStof;1166;08-06-2011;;G
C1yactt;methylacetaat;79-20-9;ChemischeStof;1164;08-06-2011;;G
C1yazfs;methylazinfos;86-50-0;ChemischeStof;328;08-06-2011;;G
C1ycbmt;methylcarbamaat;598-55-0;ChemischeStof;4992;21-01-2014;;G
C1yccC5a;methylcyclopentaan;96-37-7;ChemischeStof;;08-06-2011;;G
C1yccC5e;methylcyclopenteen;693-89-0;ChemischeStof;;08-06-2011;;G
C1yccC6a;methylcyclohexaan;108-87-2;ChemischeStof;1168;08-06-2011;;G
C1ydesFyClid;methyl-desfenylchloridazon;17254-80-7;ChemischeStof;;07-04-2012;;G
C1yebtoCN;methyleenbisthiocyanaat;6317-18-6;ChemischeStof;;08-06-2011;;G
C1yfmt;methylformaat;107-31-3;ChemischeStof;1172;08-06-2011;;G
C1yfpp;methylflamprop;52756-25-9;ChemischeStof;;08-06-2011;;G
C1yhdzne;methylhydrazine;60-34-4;ChemischeStof;;08-06-2011;;G
C1yicnt;methylisocyanaat;624-83-9;ChemischeStof;;08-06-2011;;G
C1yidl;methylindool;27323-28-0;ChemischeStof;;08-06-2011;;G
C1yitoCN;methylisothiocyanaat;556-61-6;ChemischeStof;1176;08-06-2011;;G
C1ymsfrn;methyl-metsulfuron;74223-64-6;ChemischeStof;2453;08-06-2011;;G
C1ymtclt;methylmethacrylaat;80-62-6;ChemischeStof;1177;08-06-2011;;G
C1yntacAd;methylnaftylaceetamide;85-07-4;ChemischeStof;;08-06-2011;;G
C1yprmfs;methylpirimifos;29232-93-7;ChemischeStof;1408;08-06-2011;;G
C1yprton;methylparathion;298-00-0;ChemischeStof;1179;08-06-2011;;G
C1yttC4yEtr;methyl-tertiair-butylether;1634-04-4;ChemischeStof;1163;08-06-2011;;G
C22azr;docosaanzuur;112-85-6;ChemischeStof;;08-06-2011;;G
C28a;octacosaan;630-02-4;ChemischeStof;;08-06-2011;;G
C2OH;ethanol;64-17-5;ChemischeStof;716;08-06-2011;;G
C2a;ethaan;74-84-0;ChemischeStof;715;08-06-2011;;G
C2al;ethanal;75-07-0;ChemischeStof;249;08-06-2011;;G
C2e;etheen;74-85-1;ChemischeStof;717;08-06-2011;;G
C2oxC2yactt;ethoxyethylacetaat;111-15-9;ChemischeStof;;08-06-2011;;G
C2oxsfrn;ethoxysulfuron;126801-58-9;ChemischeStof;;08-06-2011;;G
C2y2C1yBensf;ethyl-2-methylbenzeensulfonamide;1077-56-1;ChemischeStof;;08-06-2011;;G
C2y3HoxFyact;ethyl-(3-hydroxyfenyl)acetaat;22446-38-4;ChemischeStof;;08-06-2011;;G
C2y44DClbzlt;ethyl-4.4'-dichloorbenzilaat;510-15-6;ChemischeStof;477;08-06-2011;;G
C2yAe;ethylamine;75-04-7;ChemischeStof;727;08-06-2011;;G
C2yAn;ethylaniline;103-69-5;ChemischeStof;;08-06-2011;;G
C2yBen;ethylbenzeen;100-41-4;ChemischeStof;728;08-06-2011;;G
C2yBrfs;ethylbromofos;4824-78-6;ChemischeStof;392;08-06-2011;;G
C2yC6aDol;ethylhexaandiol;94-96-2;ChemischeStof;;08-06-2011;;G
C2yClfmt;ethyl chloorformaat;541-41-3;ChemischeStof;;08-06-2011;;G
C2yClprfs;ethylchloorpyrifos;2921-88-2;ChemischeStof;494;08-06-2011;;G
C2yHgBr;ethylkwikbromide;107-26-6;ChemischeStof;;08-06-2011;;G
C2yTol;ethyltolueen;25550-14-5;ChemischeStof;739;08-06-2011;;G
C2yaclt;ethylacrylaat;140-88-5;ChemischeStof;726;08-06-2011;;G
C2yactt;ethylacetaat;141-78-6;ChemischeStof;725;08-06-2011;;G
C2yazfs;ethylazinfos;2642-71-9;ChemischeStof;327;08-06-2011;;G
C2yeDAe;ethyleendiamine;107-15-3;ChemischeStof;2584;08-06-2011;;G
C2yeO;ethyleenoxide;75-21-8;ChemischeStof;;08-06-2011;;G
C2yebDtocbmt;ethyleenbisdithiocarbamaat;111-54-6;ChemischeStof;;08-06-2011;;G
C2yeimne;ethyleenimine;151-56-4;ChemischeStof;;08-06-2011;;G
C2yetourum;ethyleenthioureum;96-45-7;ChemischeStof;733;08-06-2011;;G
C2ymtclt;ethylmethacrylaat;97-63-2;ChemischeStof;737;08-06-2011;;G
C2yprmfs;ethylpirimifos;23505-41-1;ChemischeStof;1407;08-06-2011;;G
C2yprton;ethylparathion;56-38-2;ChemischeStof;738;08-06-2011;;G
C3al;propanal;123-38-6;ChemischeStof;;08-06-2011;;G
C3astn;propaansulton;1120-71-4;ChemischeStof;;08-06-2011;;G
C3ol;propanol;71-23-8;ChemischeStof;;08-06-2011;;G
C3yactt;propylacetaat;109-60-4;ChemischeStof;1433;28-08-2011;;G
C3yeO;propyleenoxide;75-56-9;ChemischeStof;1436;08-06-2011;;G
C3yeimne;propyleenimine;75-55-8;ChemischeStof;;08-06-2011;;G
C3yslnl;trimethylsilanol;66-40-6;ChemischeStof;1618;06-07-2013;;G
C4OxplC3yegc;butoxypolypropyleenglycol;9003-13-8;ChemischeStof;;08-06-2011;;G
C4a;butaan;106-97-8;ChemischeStof;1789;06-07-2013;;G
C4al;butanal;123-72-8;ChemischeStof;;08-06-2011;;G
C4ol;butanol;71-36-3;ChemischeStof;406;28-08-2011;;G
C4yBen;butylbenzeen;104-51-8;ChemischeStof;;27-08-2011;;G
C4yBensfAd;butylbenzeensulfonamide;3622-84-2;ChemischeStof;1786;28-08-2011;;G
C4yBensfnt;butylbenzeensulfonaat;80-44-4;ChemischeStof;;08-06-2011;;G
C4yC16aoat;butylhexadecanoaat;111-06-8;ChemischeStof;;08-06-2011;;G
C4yaclt;butylacrylaat;141-32-2;ChemischeStof;413;28-08-2011;;G
C4yactt;butylacetaat;123-86-4;ChemischeStof;412;28-08-2011;;G
C4yat;butylaat;2008-41-5;ChemischeStof;411;08-06-2011;;G
C4ygcactt;butylglycolacetaat;112-07-2;ChemischeStof;419;06-07-2013;;G
C4ymtclt;butylmethacrylaat;97-88-1;ChemischeStof;420;27-08-2011;;G
C5a;pentaan;109-66-0;ChemischeStof;1384;28-08-2011;;G
C5al;pentanal (n-valeraldehyde);110-62-3;ChemischeStof;1972;06-07-2013;;G
C5ol;pentanol;71-41-0;ChemischeStof;1392;06-07-2013;;G
C6a;hexaan;110-54-3;ChemischeStof;860;08-06-2011;;G
C6al;hexanal;66-25-1;ChemischeStof;869;08-06-2011;;G
C6azr;hexaanzuur;142-62-1;ChemischeStof;;27-08-2011;;G
C7a;heptaan;142-82-5;ChemischeStof;851;08-06-2011;;G
C7azr;heptaanzuur;111-14-8;ChemischeStof;852;08-06-2011;;G
C7azrC1yEsr;heptaanzuur methylester;106-73-0;ChemischeStof;4993;21-01-2014;;G
C8C18akbzDC1;C8-C18-alkylbenzyldimethylammoniumchloride;63449-41-2;ChemischeStof;;08-06-2011;;G
C8a;octaan;111-65-9;ChemischeStof;1287;08-06-2011;;G
C8al;octanal;124-13-0;ChemischeStof;;08-06-2011;;G
C8azr;octaanzuur;124-07-2;ChemischeStof;1288;08-06-2011;;G
C8ybccC7eDcb;octylbicyclohepteendicarboximide;113-48-4;ChemischeStof;;27-08-2011;;G
C8yfOxplC2ox;octylfenoxypolyethoxyethanol;9036-19-5;ChemischeStof;;08-06-2011;;G
C9a;nonaan;111-84-2;ChemischeStof;1278;06-07-2013;;G
C9al;nonanal;124-19-6;ChemischeStof;1280;08-06-2011;;G
C9azr;nonaanzuur;112-05-0;ChemischeStof;1279;28-08-2011;;G
C9yFol;nonylfenol;25154-52-3;ChemischeStof;1282;08-06-2011;;G
CAMPLBTR;Campylobacter;NVT;Object;;08-06-2011;;G
CAPCTT;Capaciteit;NVT;Grootheid;;08-06-2011;;G
CATCANBTRDLG;Categorie Cyanobacteriedrijflaag;NVT;Typering;;08-06-2011;;G
CDMBP;4-chloor-3'.4'-dimethoxybenzofenon;116412-83-0;ChemischeStof;;08-06-2011;;G
CFK11;trichloorfluormethaan;75-69-4;ChemischeStof;799;08-06-2011;;G
CFK1113;freon-1113;79-38-9;ChemischeStof;2588;06-07-2013;;G
CFK113;1.1.2-trichloor-1.2.2-trifluorethaan;76-13-1;ChemischeStof;;08-06-2011;;G
CFK114;1.2-dichloortetrafluorethaan;76-14-2;ChemischeStof;801;08-06-2011;;G
CFK115;monochloorpentafluorethaan;76-15-3;ChemischeStof;;08-06-2011;;G
CFK12;dichloordifluormethaan;75-71-8;ChemischeStof;802;08-06-2011;;G
CFK13;chloortrifluormethaan;75-72-9;ChemischeStof;;08-06-2011;;G
CFK132;freon-132;431-06-1;ChemischeStof;2591;06-07-2013;;G
CHLFa;chlorofyl-a;479-61-8;ChemischeStof;;08-06-2011;;G
CHLFa/FEOa;Verhouding chlorofyl-a/feofytine a;NVT;Grootheid;;08-06-2011;;G
CHLFb;chlorofyl-b;519-62-0;ChemischeStof;;08-06-2011;;G
CLOSTR;Chlostridia;NVT;Object;;08-06-2011;;G
CMC;carboxymethylcellulose (CMC);9000-11-7;ChemischeStof;;10-06-2011;;G
CMO;koolmonoxide;630-08-0;ChemischeStof;;08-06-2011;;G
CN;cyanide;57-12-5;ChemischeStof;;08-06-2011;;G
CNazne;cyanazine;21725-46-2;ChemischeStof;534;08-06-2011;;G
CNcpx;cyanide-complex;NVT;ChemischeStof;2595;27-08-2011;;G
CNuzCl;cyanuurzuurchloride;108-77-0;ChemischeStof;;08-06-2011;;G
CNuzr;cyanuurzuur;420-05-3;ChemischeStof;;08-06-2011;;G
CNvrij;cyanide-vrij;NVT;ChemischeStof;537;09-06-2011;;G
CO2;kooldioxide;124-38-9;ChemischeStof;1803;08-06-2011;;G
CO3;carbonaat;3812-32-6;ChemischeStof;464;08-06-2011;;G
CONCTTE;(massa)Concentratie;NVT;Grootheid;;08-06-2011;;G
CRYPTF;Cryptofyten;NVT;Object;;08-06-2011;;G
CS2;koolstofdisulfide;75-15-0;ChemischeStof;;08-06-2011;;G
CTAB;cetyltrimethylammoniumbromide;57-09-0;ChemischeStof;;12-04-2014;;G
CYANBTE;Cyanobacterie (blauwalg);NVT;Object;;29-06-2012;;G
CYANBTRDLG;Cyanobacteriedrijflaag;NVT;Object;;10-07-2012;;G
CYLI;Cylindrospermopsis;NVT;Object;;11-06-2011;;G
CZV;Chemisch zuurstofverbruik;NVT;ChemischeStof;;26-08-2011;;G
CZV/BZV;Verhouding CZV/BZV;NVT;Grootheid;;08-06-2011;;G
CZV/N;Verhouding CZV/stikstof;NVT;Grootheid;;08-06-2011;;G
CZV/NKj;Verhouding CZV/stikstof Kjeldahl;NVT;Grootheid;;08-06-2011;;G
CZV/P;Verhouding CZV/fosfor totaal;NVT;Grootheid;;26-08-2011;;G
Ca;calcium;7440-70-2;ChemischeStof;447;08-06-2011;;G
Ca47;calcium 47;14391-99-2;ChemischeStof;;08-06-2011;;G
CaCO3;calciumcarbonaat;471-34-1;ChemischeStof;;08-06-2011;;G
CaCl2;calciumchloride;10043-52-4;ChemischeStof;;08-06-2011;;G
CaO;calciumoxide;1305-78-8;ChemischeStof;;08-06-2011;;G
CaSO4;calciumsulfaat;7778-18-9;ChemischeStof;;08-06-2011;;G
CacaAd;calciumcyanamide;156-62-7;ChemischeStof;;08-06-2011;;G
Canorg;koolstof anorganisch;NVT;ChemischeStof;;26-08-2011;;G
Cd;cadmium;7440-43-9;ChemischeStof;441;08-06-2011;;G
Cd109;cadmium 109;14109-32-1;ChemischeStof;;08-06-2011;;G
Ce;cerium;7440-45-1;ChemischeStof;467;08-06-2011;;G
Ce139;cerium 139;13982-30-4;ChemischeStof;;08-06-2011;;G
Ce141;cerium 141;13967-74-3;ChemischeStof;;08-06-2011;;G
Ce144;cerium 144;14762-78-8;ChemischeStof;;08-06-2011;;G
Cf;californium;7440-71-3;ChemischeStof;;07-01-2012;;G
Cf249;californium 249;15237-97-5;ChemischeStof;;08-06-2011;;G
Cf251;californium 251;15765-19-2;ChemischeStof;;08-06-2011;;G
Chr;chryseen;218-01-9;ChemischeStof;518;08-06-2011;;G
Cl;chloride;16887-00-6;ChemischeStof;508;08-06-2011;;G
Cl/GELDHD;Verhouding chloride/geleidendheid;NVT;Grootheid;;08-06-2011;;G
Cl2;dichloor;7782-50-5;ChemischeStof;;01-09-2011;;G
ClAeT;chlooramine-T;127-65-1;ChemischeStof;;08-06-2011;;G
ClBen;chloorbenzeen;108-90-7;ChemischeStof;1246;08-06-2011;;G
ClC1a;chloormethaan;74-87-3;ChemischeStof;;08-06-2011;;G
ClC2a;chloorethaan;75-00-3;ChemischeStof;1247;08-06-2011;;G
ClC2e;chlooretheen (vinylchloride);75-01-4;ChemischeStof;1654;08-06-2011;;G
ClC3yat;chloorpropylaat;5836-10-2;ChemischeStof;;10-06-2011;;G
ClDC1yEtr;chloordimethylether;107-30-2;ChemischeStof;;08-06-2011;;G
ClDO;chloordioxide;10049-04-4;ChemischeStof;;08-06-2011;;G
ClFAn;chloorfluoraniline;367-21-5;ChemischeStof;;08-06-2011;;G
ClHAc;chloorazijnzuur;79-11-8;ChemischeStof;1245;08-06-2011;;G
ClNO2Ben;chloornitrobenzeen;25167-93-5;ChemischeStof;;08-06-2011;;G
ClO3;chloraat;14866-68-3;ChemischeStof;4994;21-01-2014;;G
ClOxnl;chlooroxynil;1891-95-8;ChemischeStof;2452;08-06-2011;;G
ClT4ccne;chloortetracycline;57-62-5;ChemischeStof;;08-06-2011;;G
ClTO;chloortrioxide;13932-10-0;ChemischeStof;;08-06-2011;;G
Clactn;chlooraceton;78-95-5;ChemischeStof;;08-06-2011;;G
Clafncl;chlooramfenicol;56-75-7;ChemischeStof;2497;08-06-2011;;G
Clahdt;chloralhydraat;302-17-0;ChemischeStof;;08-06-2011;;G
Clbfm;chloorbufam;1967-16-4;ChemischeStof;479;08-06-2011;;G
Clbmrn;chloorbromuron;13360-45-7;ChemischeStof;478;08-06-2011;;G
Clbsde;chloorbenside;103-17-3;ChemischeStof;506;08-06-2011;;G
ClccC6a;chloorcyclohexaan;542-18-7;ChemischeStof;;08-06-2011;;G
Cldn;chloordaan;57-74-9;ChemischeStof;2220;08-06-2011;;G
Clfapr;chloorfenapyr;122453-73-0;ChemischeStof;;08-06-2011;;G
Clfazrn;chloorfluazuron;71422-67-8;ChemischeStof;;08-06-2011;;G
Clfn;chlorofeen;120-32-1;ChemischeStof;223;08-06-2011;;G
Clfsn;chloorfenson;80-33-1;ChemischeStof;484;08-06-2011;;G
Clfvfs;chloorfenvinfos;470-90-6;ChemischeStof;487;09-06-2011;;G
